Día,Interlocut,Cliente,Latitud,Longitud,Pedido,Real,T.Ruta,Cluster
lunes,210359,6361622,-12.09562,-76.92462,8.61,8.61,R.Principal,0
lunes,210359,6354140,-12.095664,-76.924533,7.15,7.15,R.Principal,0
lunes,210359,6349258,-12.084698,-76.925108,1.2200000000000002,1.2200000000000002,R.Principal,0
lunes,210359,6431025,-12.092074,-76.899924,2.19,2.19,R.Principal,0
lunes,210359,6341639,-12.078313,-76.899132,13.66,13.66,R.Principal,0
lunes,210359,6377829,-12.087001,-76.935886,7.53,7.53,R.Principal,0
lunes,210359,11631600,-12.083508,-76.898088,3.72,3.72,R.Principal,0
lunes,210359,11661233,-12.08359,-76.89775,29.689999999999998,29.689999999999998,R.Principal,0
lunes,210359,6346229,-12.083769,-76.897756,8.495000000000001,8.495000000000001,R.Principal,0
lunes,210359,6348464,-12.08609,-76.88926,4.7,4.7,R.Principal,0
lunes,210359,6346206,-12.082771,-76.898143,25.745000000000005,25.745000000000005,R.Principal,0
lunes,210359,11639683,-12.0825453,-76.9337054,1.68,1.68,R.Principal,0
lunes,210359,11664231,-12.0823885,-76.9279093,7.0,7.0,R.Principal,0
lunes,210370,11678748,-12.0827718,-76.9282927,5.0,5.0,R.Secundario,0
lunes,210359,6431029,-12.08976,-76.90017,4.42,4.42,R.Principal,0
lunes,210359,11633255,-12.08579,-76.913,1.6900000000000002,1.6900000000000002,R.Principal,0
lunes,210359,6341289,-12.081647,-76.927702,6.0,6.0,R.Principal,0
lunes,210359,6349565,-12.083651,-76.898034,7.785,7.785,R.Principal,0
lunes,210359,6350271,-12.08492,-76.92489,1.12,1.12,R.Principal,0
lunes,210359,11634821,-12.0952,-76.92381,1.12,1.12,R.Principal,0
lunes,210359,6419760,-12.0844287,-76.9205168,3.64,3.64,R.Principal,0
lunes,210359,6353948,-12.083129,-76.897688,15.23,15.23,R.Principal,0
lunes,210359,11645128,-12.09551,-76.92432,1.92,1.92,R.Principal,0
lunes,210359,6431026,-12.0899757,-76.9024618,2.965,2.965,R.Principal,0
lunes,210359,6340075,-12.084258,-76.928339,37.72500000000001,37.72500000000001,R.Principal,0
lunes,210359,11598937,-12.0832337,-76.9054392,4.72,4.72,R.Principal,0
