Interlocut,Latitud,Longitud,Pedido,Real,T.Ruta,cluster
204565,-11.9525439,-77.0696458,11.510000000000002,11.510000000000002,R.Secundario,16
204565,-11.9532733,-77.0695564,1.7999999999999998,1.7999999999999998,R.Secundario,16
204565,-11.9484159,-77.0800808,1.68,1.68,R.Secundario,16
204565,-11.93653,-77.06558,31.0,31.0,R.Secundario,16
204565,-11.9261371,-77.059138,3.2800000000000002,3.2800000000000002,R.Secundario,16
204565,-11.914085,-77.028864,2.38,2.38,R.Secundario,16
204565,-11.9046102,-77.0388892,51.85,51.85,R.Secundario,0
204565,-11.92822,-77.05669,3.4200000000000004,3.4200000000000004,R.Secundario,16
204565,-11.95575,-77.0616,7.0,7.0,R.Secundario,16
204565,-11.92098,-77.06304,30.1,30.1,R.Secundario,16
204565,-11.937037,-77.0652451,40.0,40.0,R.Secundario,16
204565,-11.9209929,-77.062256,12.4,12.4,R.Secundario,16
204565,-11.93973,-77.05043,58.809999999999995,58.809999999999995,R.Secundario,0
204565,-11.93715,-77.06622,12.0,12.0,R.Secundario,16
204565,-11.93485,-77.06712,0.6,0.6,R.Secundario,16
204565,-11.862802,-77.008376,26.900000000000002,26.900000000000002,R.Secundario,22
204565,-11.852585,-77.008764,35.02,35.02,R.Secundario,22
204568,-11.951065,-77.09043,34.160000000000004,34.160000000000004,R.Secundario,16
204568,-11.849494,-77.097854,25.65,25.65,R.Secundario,22
204568,-11.8475299,-77.0911577,10.66,10.66,R.Secundario,22
204568,-11.8379337,-77.1111637,8.4,8.4,R.Secundario,22
204568,-11.93796,-77.07333,15.0,15.0,R.Secundario,16
204568,-11.9191194,-77.1298498,19.16,19.16,R.Secundario,16
204568,-11.7768747,-77.163799,1.3399999999999999,1.3399999999999999,R.Secundario,4
204570,-12.0561081,-77.1095191,4.6,4.6,R.Secundario,15
204570,-12.05326,-77.1152,3.6,3.6,R.Secundario,15
204570,-12.06056,-77.13973,2.0,2.0,R.Secundario,15
204570,-12.0476265,-77.110247,64.52199999999999,64.52199999999999,R.Secundario,0
204570,-12.0473391,-77.1131607,14.709999999999999,14.709999999999999,R.Secundario,15
204570,-12.0486098,-77.1109615,28.5,28.5,R.Secundario,16
204570,-12.0067391,-77.0993446,1.2,1.2,R.Secundario,16
204570,-11.9976451,-77.1141591,1.2,1.2,R.Secundario,16
204570,-12.0664639,-77.1182131,0.6,0.6,R.Secundario,15
204570,-12.0565638,-77.1015019,2.0,2.0,R.Secundario,15
204570,-12.0726103,-77.1625557,3.0,3.0,R.Secundario,15
210346,-12.0819,-76.99334,4.68,4.68,R.Principal,11
210346,-12.0849543,-76.9996873,18.415,18.415,R.Principal,11
210346,-12.085037,-76.999781,4.04,4.04,R.Principal,11
210346,-12.08491,-76.99972,1.7199999999999998,1.7199999999999998,R.Principal,11
210346,-12.08587,-76.99716,14.794999999999998,14.794999999999998,R.Principal,11
210346,-12.0836917,-76.9933903,7.970000000000001,7.970000000000001,R.Principal,11
210346,-12.0855492,-76.9963176,61.06,61.06,R.Principal,0
210346,-12.08292,-76.98539,7.2,7.2,R.Principal,11
210346,-12.0817,-76.99069,4.695,4.695,R.Principal,11
210346,-12.084234,-76.99063,2.795,2.795,R.Principal,11
210346,-12.084354,-76.986917,2.13,2.13,R.Principal,11
210346,-12.084426,-77.004771,2.83,2.83,R.Principal,11
210346,-12.0856529,-76.9962507,2.26,2.26,R.Principal,11
210346,-12.08493,-76.99984,2.695,2.695,R.Principal,11
210346,-12.083752,-76.989665,1.44,1.44,R.Principal,11
210346,-12.0811727,-76.9936245,20.765,20.765,R.Principal,11
210346,-12.052056,-77.039941,3.12,3.12,R.Principal,11
210346,-12.047954,-77.026995,3.0,3.0,R.Principal,11
210346,-12.0472757,-77.0318699,6.365,6.365,R.Principal,11
210346,-12.045037,-77.028581,2.42,2.42,R.Principal,11
210346,-12.04838,-77.03302,10.0,10.0,R.Principal,11
210346,-12.05464,-77.03546,1.375,1.375,R.Principal,11
210346,-12.05325,-77.03596,0.5,0.5,R.Principal,11
210346,-12.05112,-77.03861,7.8,7.8,R.Principal,11
210346,-12.053312,-77.032324,13.42,13.42,R.Principal,11
210346,-12.05506,-77.03373,6.4,6.4,R.Principal,11
210346,-12.055,-77.03388,2.1,2.1,R.Principal,11
210346,-12.04841,-77.03597,3.08,3.08,R.Principal,11
210346,-12.051695,-77.036592,5.0,5.0,R.Principal,11
210346,-12.051764,-77.031271,15.8,15.8,R.Principal,11
210346,-12.050953,-77.036007,6.5,6.5,R.Principal,11
210346,-12.048503,-77.035979,6.66,6.66,R.Principal,11
210346,-12.05113,-77.03734,12.219999999999999,12.219999999999999,R.Principal,11
210346,-12.046637,-77.031276,0.95,0.95,R.Principal,11
210346,-12.049886,-77.034231,2.0,2.0,R.Principal,11
210346,-12.04341,-77.03352,1.93,1.93,R.Principal,11
210346,-12.04587,-77.03275,1.0,1.0,R.Principal,11
210346,-12.04527,-77.03479,10.1,10.1,R.Principal,11
210346,-12.04587,-77.03194,1.37,1.37,R.Principal,11
210346,-12.05385,-77.03609,17.060000000000002,17.060000000000002,R.Principal,11
210346,-12.05126,-77.03618,6.5,6.5,R.Principal,11
210346,-12.043698,-77.033255,10.754999999999999,10.754999999999999,R.Principal,11
210346,-12.045233,-77.033801,1.84,1.84,R.Principal,11
210346,-12.044602,-77.034842,1.62,1.62,R.Principal,11
210346,-12.04836,-77.03585,1.6400000000000001,1.6400000000000001,R.Principal,11
210346,-12.051273,-77.028846,6.5,6.5,R.Principal,11
210346,-12.043801,-77.033038,0.7,0.7,R.Principal,11
210346,-12.04879,-77.03201,1.0,1.0,R.Principal,11
210346,-12.044972,-77.033416,0.895,0.895,R.Principal,11
210346,-12.04983,-77.03429,1.835,1.835,R.Principal,11
210346,-12.0471803,-77.0319005,1.4,1.4,R.Principal,11
210346,-12.0456927,-77.0341129,2.36,2.36,R.Principal,11
210346,-12.080977,-76.993244,2.8,2.8,R.Principal,11
210346,-12.08196,-76.99685,4.145,4.145,R.Principal,11
210346,-12.07606,-76.99515,0.9,0.9,R.Principal,11
210346,-12.07412,-76.99596,2.3200000000000003,2.3200000000000003,R.Principal,11
210346,-12.0814828,-76.9894303,7.695,7.695,R.Principal,11
210346,-12.0804,-76.99684,1.4050000000000002,1.4050000000000002,R.Principal,11
210346,-12.07213,-76.99444,1.9100000000000001,1.9100000000000001,R.Principal,11
210346,-12.0786525,-76.9975385,6.0,6.0,R.Principal,11
210346,-12.07762,-76.98958,9.382,9.382,R.Principal,11
210346,-12.0784478,-76.9920098,38.184999999999995,38.184999999999995,R.Principal,0
210346,-12.07923,-76.990391,13.635,13.635,R.Principal,11
210346,-12.07702,-76.99989,27.83,27.83,R.Principal,11
210346,-12.0783961,-76.9988553,3.275,3.275,R.Principal,11
210346,-12.08103,-76.98878,1.475,1.475,R.Principal,11
210346,-12.073,-76.9962984,24.15,24.15,R.Principal,11
210346,-12.083299,-76.9930456,0.76,0.76,R.Principal,11
210346,-12.0813648,-76.9931149,7.11,7.11,R.Principal,11
210346,-12.0785138,-76.9989174,2.8680000000000003,2.8680000000000003,R.Principal,11
210347,-12.046538,-77.045657,0.7,0.7,R.Principal,21
210347,-12.047701,-77.045291,1.7650000000000001,1.7650000000000001,R.Principal,21
210347,-12.048184,-77.043659,1.1,1.1,R.Principal,21
210347,-12.04963,-77.04989,5.715,5.715,R.Principal,21
210347,-12.047151,-77.043644,11.0,11.0,R.Principal,21
210347,-12.048869,-77.054287,2.08,2.08,R.Principal,21
210347,-12.0479337,-77.0543146,0.72,0.72,R.Principal,21
210347,-12.04979,-77.04911,2.9000000000000004,2.9000000000000004,R.Principal,21
210347,-12.0473629,-77.049388,3.9749999999999996,3.9749999999999996,R.Principal,21
210347,-12.0460027,-77.0455017,5.234999999999999,5.234999999999999,R.Principal,21
210347,-12.05354,-77.04408,7.375,7.375,R.Principal,21
210347,-12.055188,-77.049076,6.3,6.3,R.Principal,21
210347,-12.054556,-77.051379,4.075,4.075,R.Principal,21
210347,-12.054443,-77.054161,12.08,12.08,R.Principal,21
210347,-12.051584,-77.046309,1.575,1.575,R.Principal,21
210347,-12.053252,-77.050475,2.24,2.24,R.Principal,21
210347,-12.05154,-77.04677,4.585,4.585,R.Principal,21
210347,-12.05379,-77.04974,4.0,4.0,R.Principal,21
210347,-12.05382,-77.04973,4.52,4.52,R.Principal,21
210347,-12.05121,-77.04756,4.6499999999999995,4.6499999999999995,R.Principal,21
210347,-12.05408,-77.049403,8.775,8.775,R.Principal,21
210347,-12.053641,-77.046142,25.279999999999998,25.279999999999998,R.Principal,21
210347,-12.0537297,-77.0496589,9.96,9.96,R.Principal,21
210347,-12.053804,-77.047996,2.775,2.775,R.Principal,21
210347,-12.05254,-77.049128,14.775,14.775,R.Principal,21
210347,-12.05399,-77.04965,1.44,1.44,R.Principal,21
210347,-12.0542696,-77.0476981,1.7200000000000002,1.7200000000000002,R.Principal,21
210347,-12.0524302,-77.0492504,95.16500000000002,95.16500000000002,R.Principal,7
210347,-12.05534,-77.050787,3.4,3.4,R.Principal,21
